FE;Morphological form;Solitary-Colonial;Max Longevity;Height;Width;Epibiosis;Major photosynthetic pigments;Age reproductive maturity;Asexual Reproduction;Growth rates;Calcification ;Chemical defenses;Biological cycle;Vegetative reproduction
a12333a113d111;a;1;2;3;3;3;a;1;1;3;d;1;1;1
a21512b125a123;a;2;1;5;1;2;b;1;2;5;a;1;2;3
e12232c123a143;e;1;2;2;3;2;c;1;2;3;a;1;4;3
f13322c323a143;f;1;3;3;2;2;c;3;2;3;a;1;4;3
e12322a213a221;e;1;2;3;2;2;a;2;1;3;a;2;2;1
a12212c111a141;a;1;2;2;1;2;c;1;1;1;a;1;4;1
a12212c212a141;a;1;2;2;1;2;c;2;1;2;a;1;4;1
f23332a213a111;f;2;3;3;3;2;a;2;1;3;a;1;1;1
a22332a213a133;a;2;2;3;3;2;a;2;1;3;a;1;3;3
b25442a325a212;b;2;5;4;4;2;a;3;2;5;a;2;1;2
b25442a325a212;b;2;5;4;4;2;a;3;2;5;a;2;1;2
a22212c212a143;a;2;2;2;1;2;c;2;1;2;a;1;4;3
a11212c212a141;a;1;1;2;1;2;c;2;1;2;a;1;4;1
a22422c223a143;a;2;2;4;2;2;c;2;2;3;a;1;4;3
a12522a125a121;a;1;2;5;2;2;a;1;2;5;a;1;2;1
f12332c223a141;f;1;2;3;3;2;c;2;2;3;a;1;4;1
f12221c111a141;f;1;2;2;2;1;c;1;1;1;a;1;4;1
f12232c313a141;f;1;2;2;3;2;c;3;1;3;a;1;4;1
f12432c225a141;f;1;2;4;3;2;c;2;2;5;a;1;4;1
a14322a314a121;a;1;4;3;2;2;a;3;1;4;a;1;2;1
a11312a114a121;a;1;1;3;1;2;a;1;1;4;a;1;2;1
a11312a114a121;a;1;1;3;1;2;a;1;1;4;a;1;2;1
a11312a114a121;a;1;1;3;1;2;a;1;1;4;a;1;2;1
a11312a114a121;a;1;1;3;1;2;a;1;1;4;a;1;2;1
a11412a125a121;a;1;1;4;1;2;a;1;2;5;a;1;2;1
a12323a223a121;a;1;2;3;2;3;a;2;2;3;a;1;2;1
f12432b114a131;f;1;2;4;3;2;b;1;1;4;a;1;3;1
m37633a525a212;m;3;7;6;3;3;a;5;2;5;a;2;1;2
l14542b225a211;l;1;4;5;4;2;b;2;2;5;a;2;1;1
l15443b325a211;l;1;5;4;4;3;b;3;2;5;a;2;1;1
a22222c212a141;a;2;2;2;2;2;c;2;1;2;a;1;4;1
f12333a313a111;f;1;2;3;3;3;a;3;1;3;a;1;1;1
e12442b214a221;e;1;2;4;4;2;b;2;1;4;a;2;2;1
e22432b224a121;e;2;2;4;3;2;b;2;2;4;a;1;2;1
e22312c212a143;e;2;2;3;1;2;c;2;1;2;a;1;4;3
f23322c224a143;f;2;3;3;2;2;c;2;2;4;a;1;4;3
l15633b414a211;l;1;5;6;3;3;b;4;1;4;a;2;1;1
l16553b514a211;l;1;6;5;5;3;b;5;1;4;a;2;1;1
j12231a214a131;j;1;2;2;3;1;a;2;1;4;a;1;3;1
b25443a423c112;b;2;5;4;4;3;a;4;2;3;c;1;1;2
f13443b214a221;f;1;3;4;4;3;b;2;1;4;a;2;2;1
a22222c212a141;a;2;2;2;2;2;c;2;1;2;a;1;4;1
g12222c223c143;g;1;2;2;2;2;c;2;2;3;c;1;4;3
g22322c214c241;g;2;2;3;2;2;c;2;1;4;c;2;4;1
f22432c214a241;f;2;2;4;3;2;c;2;1;4;a;2;4;1
a12212c221a141;a;1;2;2;1;2;c;2;2;1;a;1;4;1
a22222c222a143;a;2;2;2;2;2;c;2;2;2;a;1;4;3
a22222c222a143;a;2;2;2;2;2;c;2;2;2;a;1;4;3
a22212c212a143;a;2;2;2;1;2;c;2;1;2;a;1;4;3
e12442b214c222;e;1;2;4;4;2;b;2;1;4;c;2;2;2
a22212c213a143;a;2;2;2;1;2;c;2;1;3;a;1;4;3
a12322c213a141;a;1;2;3;2;2;c;2;1;3;a;1;4;1
a12212a222a121;a;1;2;2;1;2;a;2;2;2;a;1;2;1
a11212c123a143;a;1;1;2;1;2;c;1;2;3;a;1;4;3
a12232b222a124;a;1;2;2;3;2;b;2;2;2;a;1;2;4
f22232b222a124;f;2;2;2;3;2;b;2;2;2;a;1;2;4
f12433b214a131;f;1;2;4;3;3;b;2;1;4;a;1;3;1
j24332a323a221;j;2;4;3;3;2;a;3;2;3;a;2;2;1
j24322a323a223;j;2;4;3;2;2;a;3;2;3;a;2;2;3
a22222c222a141;a;2;2;2;2;2;c;2;2;2;a;1;4;1
a14422c224a143;a;1;4;4;2;2;c;2;2;4;a;1;4;3
