Species;FE
Acetabularia.acetabulum;a12333a113d111
Acinetospora.unk;a21512b125a123
Acrosorium.ciliolatum;e12232c123a143
Alsidium.corallinum;f13322c323a143
Anadyomene.stellata;e12322a213a221
Anotrichium.barbatum;a12212c111a141
Antithamnion.unk;a12212c212a141
Batophora.occidentalis.var.largoensis;f23332a213a111
Bryopsis.unk;a22332a213a133
Caulerpa.cylindracea;b25442a325a212
Caulerpa.prolifera;b25442a325a212
Ceramium.tenuicorne;a22212c212a143
Ceramium.unk;a11212c212a141
Ceramium.virgatum;a22422c223a143
Chaetomorpha.unk;a12522a125a121
Chondria.capillaris;f12332c223a141
Chondria.mairei;f12221c111a141
Chondria.unk;f12232c313a141
Chylocladia.verticillata;f12432c225a141
Cladophora.prolifera;a14322a314a121
Cladophora.unk1;a11312a114a121
Cladophora.unk2;a11312a114a121
Cladophora.unk3;a11312a114a121
Cladophora.unk4;a11312a114a121
Cladophora.vagabunda;a11412a125a121
Cladophoropsis.membranacea;a12323a223a121
Cladosiphon.unk;f12432b114a131
Cymodocea.nodosa;m37633a525a212
Cystoseira.compressa.var.pustulata;l14542b225a211
Cystoseira.foeniculacea.f.tenuiramosa;l15443b325a211
Dasya.rigidula;a22222c212a141
Dasycladus.vermicularis;f12333a313a111
Dictyota.dichotoma.var.intricata;e12442b214a221
Dictyota.mediterranea;e22432b224a121
Gayliella.flaccida;e22312c212a143
Gelidium.pusillum;f23322c224a143
Gongolaria.barbata;l15633b414a211
Gongolaria.montagnei.var.tenuior;l16553b514a211
Halicystis.parvula.Derbesia.tenuissima.stadio;j12231a214a131
Halimeda.tuna;b25443a423c112
Halopteris.scoparia;f13443b214a221
Heterosiphonia.crispella;a22222c212a141
Jania.pedunculata.var.adhaerens;g12222c223c143
Jania.virgata;g22322c214c241
Laurencia.obtusa;f22432c214a241
Lomentaria.chylocladiella;a12212c221a141
Lophosiphonia.cristata;a22222c222a143
Lophosiphonia.obscura;a22222c222a143
Lophosiphonia.unk;a22212c212a143
Padina.pavonica;e12442b214c222
Polysiphonia.scopulorum;a22212c213a143
Polysiphonia.unk;a12322c213a141
Siphonocladus.pusillus;a12212a222a121
Spermothamnion.flabellatum;a11212c123a143
Sphacelaria.cirrosa;a12232b222a124
Sphacelaria.rigidula;f22232b222a124
Stilophora.tenella;f12433b214a131
Valonia.macrophysa;j24332a323a221
Valonia.utricularis;j24322a323a223
Vertebrata.reptabunda;a22222c222a141
Vertebrata.subulifera;a14422c224a143
