Samp;Locality;Biomass;Acetabularia.acetabulum;Acinetospora.unk;Acrosorium.ciliolatum;Alsidium.corallinum;Anadyomene.stellata;Anotrichium.barbatum;Antithamnion.unk;Batophora.occidentalis.var.largoensis;Bryopsis.unk;Caulerpa.cylindracea;Caulerpa.prolifera;Ceramium.tenuicorne;Ceramium.unk;Ceramium.virgatum;Chaetomorpha.unk;Chondria.capillaris;Chondria.mairei;Chondria.unk;Chylocladia.verticillata;Cladophora.prolifera;Cladophora.unk1;Cladophora.unk2;Cladophora.unk3;Cladophora.unk4;Cladophora.vagabunda;Cladophoropsis.membranacea;Cladosiphon.unk;Cymodocea.nodosa;Cystoseira.compressa.var.pustulata;Cystoseira.foeniculacea.f.tenuiramosa;Dasya.rigidula;Dasycladus.vermicularis;Dictyota.dichotoma.var.intricata;Dictyota.mediterranea;Gayliella.flaccida;Gelidium.pusillum;Gongolaria.barbata;Gongolaria.montagnei.var.tenuior;Halicystis.parvula.Derbesia.tenuissima.stadio;Halimeda.tuna;Halopteris.scoparia;Heterosiphonia.crispella;Jania.pedunculata.var.adhaerens;Jania.virgata;Laurencia.obtusa;Lomentaria.chylocladiella;Lophosiphonia.cristata;Lophosiphonia.obscura;Lophosiphonia.unk;Padina.pavonica;Polysiphonia.scopulorum;Polysiphonia.unk;Siphonocladus.pusillus;Spermothamnion.flabellatum;Sphacelaria.cirrosa;Sphacelaria.rigidula;Stilophora.tenella;Valonia.macrophysa;Valonia.utricularis;Vertebrata.reptabunda;Vertebrata.subulifera
TN1;Non-restored;220.19625;0;0;0;0.011353509;0;0;0;0;0;0;0;0;0.011353509;0;0.011353509;0;0;0;0;0.340605256;0.874220156;0.07947456;0;0;0;0;0;0;0;0;0;0;0.920769541;0;0;0.204363153;0;0;0;0;60.985371;0;0;0.397372798;0.011353509;0;0;0;0.011353509;36.03887441;0;0;0;0;0.045414034;0;0;0;0.056767543;0;0
TN2;Non-restored;57.04;0;0;0;0;0;0;0;0;0;3.111851332;0;0;0;0;0;0;0;0;0;0.175315568;0.043828892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.577840112;0;0;0;0;43.78506311;0;0;0.043828892;0;0;0;0;0.043828892;51.13078541;0;0;0;0;0.043828892;0;0;0;0.043828892;0;0
TN3;Non-restored;88.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028232637;0;0;0;0;0;0;0;0;0;0;0;0;0;1.948051948;0;0.112930548;0;0;0;0;0.028232637;0;0;0;0;0;0;0;0;97.88255223;0;0;0;0;0;0;0;0;0;0;0
TR1;Restored;443.36875;0;0;0;0;0;0;0;0;0;0.005638647;0;0;0;0.005638647;1.212309167;0;0;0;0;0;0.005638647;0.005638647;0;0;0;0;0.005638647;0;5.745781587;3.383188373;0.005638647;0;0.654083085;0;0;0.005638647;48.81095025;0;0;1.201031872;6.628229888;0;0;3.438165184;0.005638647;0;0.005638647;0;0;24.99048478;0;0;0.005638647;0;3.86811204;0;0.005638647;0;0.005638647;0;0
TR2;Restored;306.2125;0;0.008164265;0.008164265;0.008164265;0;0;0.008164265;0;0;0;0;0;0;0.008164265;0.008164265;0;0;0;0;0.057149855;0.008164265;0;0;0.073478385;0.008164265;0;0.008164265;32.44070703;0;0;0.06531412;0;0.816426501;0;0.008164265;0.008164265;30.17308242;0;0;0;4.559742009;0;0;15.67334776;0;0;0.008164265;0;0;2.277829938;0.008164265;0.008164265;0.11429971;0;13.12813814;0.008164265;0.008164265;0;0.489855901;0;0
TR3;Restored;427.9375;0;0.005841975;0;0.005841975;0;0;0;0;0;0.058419746;0;0;0;0;0.005841975;0;0.005841975;0;0;0.350518475;1.69417263;0;0;0.233678983;0;0.005841975;0.005841975;19.26683219;0;0;0;0;2.181977508;0;0.005841975;0.005841975;57.48502994;0;0;0;10.37242588;0.005841975;0;0.005841975;0;0.005841975;0.005841975;0;0;3.505184752;0;0.005841975;0.005841975;0.005841975;4.764130276;0;0;0;0;0;0
EX1;Expansion_area;331.005;0;0;0;0;0;0;0;0;0;0.120844096;0;0;0;0;0;0;0;0;0;0.105738584;0;0;0;0;0;0;0;19.72024592;0;0;0;0;1.215993716;0;0;0;68.43552212;0;0;0;4.237096116;0;0;0;0;0;0;0;0;0.007552756;0;0;0;0;6.157006692;0;0;0;0;0;0
EX2;Expansion_area;281.8;0;0;0;0;0;0;0;0;0;3.930092264;0;0;0;0;0;0;0;0;0;6.538325053;0;0;0;0;0;0;0;42.45031938;0;2.759048971;0;0;0.01774308;0;0;0.00887154;33.41909155;0;0;0;0;0;0;2.919623847;0;0;0;0;0;1.144428673;0;0;0;0;6.812455642;0;0;0;0;0;0
EX3;Expansion_area;150.5875;0;0;0;0;0;0;0;0;0;0.249024653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.87415954;2.739271188;0;0;1.618660247;0;0;0.016601644;56.13845771;0;0;0;1.369635594;0;0;0;0;0;0.016601644;0;0;9.977587781;0;0;0;0;0;0;0;0;0;0;0
FR1;Reference_1;465.445625;0;0;0;0;6.499147994;0;0;0.005371197;0;0;5.457135836;0.005371197;0;0;0.005371197;0;0;0.005371197;0;0.021484787;4.404381285;0.212162269;0.212162269;0.010742393;0;0;0;0.327642998;0;0;0;0;4.873152476;1.111837715;0;4.189533418;66.66031075;0;0;0;0;0;0.510263685;0;0.010742393;0;0;0.311529408;0;1.938196325;0;0;0.005371197;0.005371197;1.272973615;0;0;0.461922915;1.482450286;0;0
