Samp;Locality;Acetabularia.acetabulum;Acinetospora.unk;Acrosorium.ciliolatum;Alsidium.corallinum;Anadyomene.stellata;Anotrichium.barbatum;Antithamnion.unk;Batophora.occidentalis.var.largoensis;Bryopsis.unk;Caulerpa.cylindracea;Caulerpa.prolifera;Ceramium.tenuicorne;Ceramium.unk;Ceramium.virgatum;Chaetomorpha.unk;Chondria.capillaris;Chondria.mairei;Chondria.unk;Chylocladia.verticillata;Cladophora.prolifera;Cladophora.unk1;Cladophora.unk2;Cladophora.unk3;Cladophora.unk4;Cladophora.vagabunda;Cladophoropsis.membranacea;Cladosiphon.unk;Cymodocea.nodosa;Cystoseira.compressa.subsp.pustulata;Cystoseira.foeniculacea.f.tenuiramosa;Cystoseira.montagnei.var.tenuior;Dasya.rigidula;Dasycladus.vermicularis;Derbesia.tenuissima;Dictyota.dichotoma.var.intricata;Dictyota.mediterranea;Gayliella.flaccida;Gelidium.pusillum;Halimeda.tuna;Halopteris.scoparia;Heterosiphonia.crispella;Jania.pedunculata.var.adhaerens;Jania.virgata;Laurencia.obtusa;Lomentaria.chylocladiella;Lophosiphonia.cristata;Lophosiphonia.obscura;Lophosiphonia.unk;Padina.pavonica;Polysiphonia.scopulorum;Polysiphonia.subulifera;Polysiphonia.unk;Siphonocladus.pusillus;Spermothamnion.flabellatum;Sphacelaria.cirrosa;Sphacelaria.rigidula;Stilophora.tenella;Valonia.macrophysa;Valonia.utricularis;Vertebrata.reptabunda
TN1;Non-restored;0;0;0;0.011353509;0;0;0;0;0;0;0;0;0.011353509;0;0.011353509;0;0;0;0;0.340605256;0.874220156;0.07947456;0;0;0;0;0;0;0;0;0;0;0;0;0.920769541;0;0;0.204363153;0;60.985371;0;0;0.397372798;0.011353509;0;0;0;0.011353509;36.03887441;0;0;0;0;0;0.045414034;0;0;0;0.056767543;0
TN2;Non-restored;0;0;0;0;0;0;0;0;0;3.111851332;0;0;0;0;0;0;0;0;0;0.175315568;0.043828892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.577840112;0;43.78506311;0;0;0.043828892;0;0;0;0;0.043828892;51.13078541;0;0;0;0;0;0.043828892;0;0;0;0.043828892;0
TN3;Non-restored;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028232637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.948051948;0;0.112930548;0;0.028232637;0;0;0;0;0;0;0;0;97.88255223;0;0;0;0;0;0;0;0;0;0;0
TR1;Restored;0;0;0;0;0;0;0;0;0;0.011015339;0;0;0;0.011015339;2.368297855;0;0;0;0;0;0.011015339;0.011015339;0;0;0;0;0.011015339;0;11.2246303;6.609203316;0;0.011015339;0;0;1.277779308;0;0;0.011015339;2.346267177;12.94853083;0;0;6.716602869;0.011015339;0;0.011015339;0;0;48.81998182;0;0;0;0.011015339;0;7.556522458;0;0.011015339;0;0.011015339;0
TR2;Restored;0;0.011692146;0.011692146;0.011692146;0;0;0.011692146;0;0;0;0;0;0;0.011692146;0.011692146;0;0;0;0;0.081845021;0.011692146;0;0;0.105229312;0.011692146;0;0.011692146;46.45874134;0;0;0;0.093537166;0;0;1.16921458;0;0.011692146;0.011692146;0;6.53006343;0;0;22.4459969;0;0;0.011692146;0;0;3.262108678;0.011692146;0;0.011692146;0.163690041;0;18.80097045;0.011692146;0.011692146;0;0.701528748;0
TR3;Restored;0;0.013740982;0;0.013740982;0;0;0;0;0;0.137409825;0;0;0;0;0.013740982;0;0.013740982;0;0;0.824458949;3.984884919;0;0;0.549639299;0;0.013740982;0.013740982;45.31776022;0;0;0;0;0;0;5.132256956;0;0.013740982;0.013740982;0;24.39711439;0.013740982;0;0.013740982;0;0.013740982;0.013740982;0;0;8.244589488;0;0;0.013740982;0.013740982;0.013740982;11.20577121;0;0;0;0;0
EX1;Expansion_area;0;0;0;0;0;0;0;0;0;0.382848392;0;0;0;0;0;0;0;0;0;0.334992343;0;0;0;0;0;0;0;62.47607198;0;0;0;0;0;0;3.852411945;0;0;0;0;13.42362175;0;0;0;0;0;0;0;0;0.023928025;0;0;0;0;0;19.50612557;0;0;0;0;0
EX2;Expansion_area;0;0;0;0;0;0;0;0;0;5.902731512;0;0;0;0;0;0;0;0;0;9.82011992;0;0;0;0;0;0;0;63.757495;0;4.143904064;0;0;0;0;0.026648901;0;0;0.01332445;0;0;0;0;4.385076616;0;0;0;0;0;1.718854097;0;0;0;0;0;10.23184544;0;0;0;0;0
EX3;Expansion_area;0;0;0;0;0;0;0;0;0;0.567751703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.55034065;6.245268736;0;0;0;0;3.690386071;0;0;0.037850114;0;3.122634368;0;0;0;0;0;0.037850114;0;0;22.74791824;0;0;0;0;0;0;0;0;0;0;0
FR1;Reference_1;0;0;0;0;19.49372697;0;0;0.016110518;0;0;16.36828645;0.016110518;0;0;0.016110518;0;0;0.016110518;0;0.064442073;13.21062489;0.636365467;0.636365467;0.032221036;0;0;0;0.982741607;0;0;0;0;0;0;14.61667036;3.334877258;0;12.56620416;0;0;0;1.530499225;0;0.032221036;0;0;0.934410053;0;5.813480476;0;0;0;0.016110518;0.016110518;3.818192803;0;0;1.385504561;4.446503011;0
FR2;Reference_1;0;0;0;0;7.946023242;0;0;0.007805524;0.007805524;0;7.875773527;0.007805524;0;0;0.359054095;0;0;0.007805524;0;0;9.240959642;6.415360022;1.191122934;0.510481257;0;0.007805524;0;0.249776762;0;0;7.454275242;0;0;0.780552381;6.396938986;2.969221259;0;6.166363812;22.28477049;0;0;0.007805524;0;0.085860762;0;0;1.06857621;0;4.371093335;0;0.007805524;0;0.803968953;0.007805524;2.052852763;0;0;1.069356762;10.64517338;0
